iter	Passed	Remaining
466	6404	7309
467	6417	7294
468	6425	7274
469	6432	7254
470	6441	7234
471	6448	7213
472	6454	7191
473	6461	7170
474	6469	7150
475	6475	7128
476	6489	7115
477	6495	7093
478	6506	7077
479	6514	7056
480	6524	7040
481	6533	7021
482	6541	7002
483	6555	6988
484	6570	6977
485	6584	6963
486	6590	6942
487	6599	6924
488	6613	6910
489	6619	6889
490	6626	6869
491	6637	6852
492	6644	6832
493	6657	6819
494	6664	6798
495	6674	6781
496	6686	6766
497	6698	6752
498	6705	6732
499	6711	6711
500	6718	6691
501	6732	6678
502	6740	6659
503	6749	6642
504	6756	6622
505	6774	6613
506	6780	6592
507	6787	6573
508	6793	6553
509	6804	6537
510	6816	6522
511	6822	6502
512	6836	6490
513	6847	6474
514	6863	6463
515	6873	6447
516	6880	6427
517	6888	6410
518	6905	6399
519	6911	6379
520	6916	6359
521	6923	6339
522	6936	6326
523	6944	6308
524	6951	6289
525	6957	6269
526	6964	6251
527	6970	6231
528	6982	6216
529	6989	6198
530	6996	6179
531	7010	6166
532	7017	6148
533	7028	6133
534	7035	6114
535	7041	6095
536	7046	6075
537	7055	6058
538	7061	6039
539	7068	6021
540	7079	6006
541	7092	5993
542	7099	5975
543	7110	5959
544	7124	5947
545	7137	5935
546	7148	5919
547	7154	5901
548	7166	5887
549	7181	5875
550	7191	5859
551	7197	5841
552	7212	5829
553	7220	5812
554	7230	5797
555	7240	5782
556	7253	5768
557	7266	5756
558	7273	5737
559	7279	5719
560	7291	5705
561	7302	5691
562	7310	5674
563	7316	5656
564	7324	5639
565	7341	5629
566	7349	5612
567	7359	5597
568	7365	5579
569	7375	5563
570	7384	5548
571	7395	5533
572	7407	5520
573	7427	5512
574	7446	5504
575	7458	5490
576	7467	5474
577	7474	5457
578	7486	5443
579	7497	5428
580	7515	5419
581	7523	5403
582	7529	5385
583	7540	5371
584	7548	5354
585	7555	5337
586	7561	5320
587	7571	5305
588	7581	5290
589	7589	5273
590	7598	5258
591	7605	5241
592	7611	5223
593	7620	5208
594	7631	5194
595	7638	5177
596	7649	5163
597	7659	5149
598	7665	5131
599	7676	5117
600	7684	5101
601	7691	5084
602	7698	5068
603	7704	5051
604	7711	5035
605	7719	5018
606	7729	5004
607	7735	4987
608	7751	4976
609	7762	4962
610	7772	4948
611	7780	4932
612	7792	4919
613	7799	4903
614	7811	4889
615	7817	4873
616	7830	4860
617	7846	4850
618	7858	4836
619	7874	4826
620	7881	4810
621	7892	4796
622	7900	4780
623	7911	4767
624	7924	4754
625	7931	4738
626	7940	4723
627	7946	4707
628	7952	4690
629	7958	4673
630	7968	4660
631	7979	4646
632	7991	4633
633	8003	4620
634	8010	4604
635	8024	4592
636	8034	4578
637	8045	4564
638	8052	4548
639	8059	4533
640	8070	4519
641	8077	4504
642	8083	4488
643	8090	4472
644	8096	4456
645	8107	4442
646	8114	4427
647	8125	4413
648	8134	4399
649	8149	4388
650	8157	4373
651	8170	4360
652	8177	4345
653	8184	4329
654	8191	4314
655	8204	4302
656	8210	4286
657	8217	4270
658	8230	4259
659	8247	4248
660	8257	4235
661	8275	4225
662	8285	4211
663	8292	4196
664	8299	4180
665	8312	4168
666	8318	4153
667	8330	4140
668	8336	4124
669	8345	4110
670	8352	4095
671	8359	4080
672	8370	4066
673	8376	4051
674	8382	4036
675	8389	4021
676	8400	4007
677	8410	3994
678	8416	3979
679	8427	3965
680	8438	3952
681	8445	3938
682	8452	3922
683	8463	3910
684	8469	3894
685	8479	3881
686	8494	3870
687	8501	3855
688	8511	3841
689	8524	3829
690	8535	3816
691	8545	3803
692	8554	3789
693	8560	3774
694	8572	3762
695	8579	3747
696	8584	3731
697	8595	3719
698	8602	3704
699	8609	3689
700	8623	3678
701	8630	3663
702	8639	3649
703	8649	3636
704	8659	3623
705	8665	3608
706	8674	3594
707	8682	3581
708	8701	3571
709	8711	3558
710	8720	3544
711	8726	3529
712	8733	3515
713	8739	3500
714	8751	3488
715	8764	3476
716	8770	3461
717	8780	3448
718	8806	3441
719	8821	3430
720	8827	3416
721	8835	3402
722	8844	3388
723	8850	3373
724	8858	3360
725	8871	3348
726	8892	3339
727	8904	3327
728	8919	3315
729	8929	3302
730	8936	3288
731	8943	3274
732	8953	3261
733	8961	3247
734	8967	3233
735	8980	3221
736	8986	3207
737	8993	3192
738	9001	3179
739	9007	3164
740	9019	3152
741	9032	3140
742	9048	3129
743	9063	3118
744	9069	3104
745	9079	3091
746	9094	3080
747	9108	3068
748	9115	3054
749	9125	3041
750	9131	3027
751	9143	3015
752	9154	3002
753	9165	2990
754	9178	2978
755	9184	2964
756	9194	2951
757	9209	2940
758	9217	2926
759	9231	2915
760	9237	2901
761	9244	2887
762	9254	2874
763	9260	2860
764	9266	2846
765	9272	2832
766	9278	2818
767	9290	2806
768	9304	2794
769	9311	2781
770	9318	2767
771	9328	2754
772	9334	2741
773	9349	2729
774	9356	2716
775	9366	2703
776	9377	2691
777	9387	2678
778	9399	2666
779	9411	2654
780	9424	2642
781	9434	2630
782	9447	2618
783	9457	2605
784	9466	2592
785	9473	2579
786	9480	2565
787	9492	2553
788	9502	2541
789	9509	2527
790	9516	2514
791	9530	2503
792	9541	2490
793	9549	2477
794	9557	2464
795	9569	2452
796	9577	2439
797	9590	2427
798	9596	2414
799	9602	2400
800	9609	2387
801	9618	2374
802	9634	2363
803	9645	2351
804	9668	2342
805	9679	2329
806	9687	2316
807	9697	2304
808	9703	2290
809	9717	2279
810	9727	2267
811	9734	2253
812	9741	2240
813	9749	2227
814	9760	2215
815	9767	2202
816	9788	2192
817	9802	2181
818	9810	2168
819	9821	2155
820	9832	2143
821	9839	2130
822	9850	2118
823	9857	2105
824	9865	2092
825	9880	2081
826	9894	2069
827	9909	2058
828	9916	2045
829	9926	2033
830	9935	2020
831	9943	2007
832	9958	1996
833	9974	1985
834	9985	1973
835	9992	1960
836	10001	1947
837	10008	1934
838	10021	1923
839	10032	1910
840	10039	1898
841	10058	1887
842	10067	1874
843	10084	1864
844	10091	1851
845	10099	1838
846	10109	1826
847	10119	1813
848	10132	1802
849	10138	1789
850	10155	1778
851	10176	1767
852	10183	1754
853	10200	1743
854	10206	1730
855	10217	1718
856	10229	1706
857	10241	1694
858	10253	1683
859	10262	1670
860	10274	1658
861	10281	1645
862	10287	1633
863	10296	1620
864	10303	1608
865	10310	1595
866	10316	1582
867	10322	1569
868	10329	1557
869	10335	1544
870	10343	1531
871	10356	1520
872	10367	1508
873	10381	1496
874	10393	1484
875	10401	1472
876	10408	1459
877	10432	1449
878	10439	1437
879	10447	1424
880	10459	1412
881	10466	1400
882	10484	1389
883	10493	1376
884	10508	1365
885	10515	1353
886	10529	1341
887	10541	1329
888	10565	1319
889	10571	1306
890	10581	1294
891	10592	1282
892	10602	1270
893	10613	1258
894	10625	1246
895	10633	1234
896	10639	1221
897	10645	1209
898	10665	1198
899	10679	1186
900	10696	1175
901	10706	1163
902	10713	1150
903	10732	1139
904	10743	1127
905	10756	1116
906	10771	1104
907	10781	1092
908	10787	1079
909	10799	1068
910	10810	1056
911	10816	1043
912	10831	1032
913	10842	1020
914	10851	1008
915	10869	996
916	10881	984
917	10892	972
918	10901	960
919	10907	948
920	10921	936
921	10937	925
922	10958	914
923	10968	902
924	10980	890
925	10991	878
926	10997	866
927	11002	853
928	11013	841
929	11020	829
930	11035	817
931	11042	805
932	11052	793
933	11071	782
934	11083	770
935	11091	758
936	11098	746
937	11120	735
938	11131	723
939	11137	710
940	11144	698
941	11156	686
942	11165	674
943	11176	663
944	11194	651
945	11204	639
946	11214	627
947	11221	615
948	11238	603
949	11250	592
950	11262	580
951	11272	568
952	11281	556
953	11291	544
954	11310	532
955	11326	521
956	11336	509
957	11344	497
958	11362	485
959	11369	473
960	11385	462
961	11396	450
962	11406	438
963	11427	426
964	11434	414
965	11441	402
966	11466	391
967	11478	379
968	11484	367
969	11497	355
970	11503	343
971	11522	331
972	11532	320
973	11548	308
974	11562	296
975	11584	284
976	11591	272
977	11599	260
978	11612	249
979	11623	237
980	11643	225
981	11649	213
982	11666	201
983	11684	189
984	11691	178
985	11698	166
986	11705	154
987	11715	142
988	11733	130
989	11743	118
990	11759	106
991	11769	94
992	11784	83
993	11799	71
994	11817	59
995	11823	47
996	11829	35
997	11835	23
998	11845	11
999	11858	0
