iter	Logloss
0	0.6889025243
1	0.6851597654
2	0.6808818431
3	0.6764517922
4	0.6730625426
5	0.6691021862
6	0.6648996604
7	0.6619411045
8	0.6583965278
9	0.6546764433
10	0.6509954784
11	0.6483071085
12	0.6454615368
13	0.6414576173
14	0.6388127153
15	0.6351445158
16	0.632017726
17	0.6283200236
18	0.6258073794
19	0.6225714675
20	0.6188064511
21	0.6161877919
22	0.6125192712
23	0.6090382139
24	0.6058080905
25	0.6018388602
26	0.5991150896
27	0.5956363397
28	0.5927023871
29	0.5890551527
30	0.5864440193
31	0.5827370379
32	0.5790246924
33	0.5765378008
34	0.573422929
35	0.5709685581
36	0.5681241105
37	0.5651008762
38	0.5620914426
39	0.5586064534
40	0.5558831337
41	0.5530069467
42	0.5506113463
43	0.5482183049
44	0.545155901
45	0.5419322534
46	0.5389093873
47	0.5367361383
48	0.5338620497
49	0.5306834218
50	0.5278900193
51	0.5246975422
52	0.5217068301
53	0.5190505763
54	0.5162882209
55	0.5128730873
56	0.5103654722
57	0.507634606
58	0.5050341798
59	0.5024772995
60	0.5003780027
61	0.4973847376
62	0.4954068356
63	0.4925498346
64	0.4896820393
65	0.4878212465
66	0.4849705431
67	0.4822500024
68	0.4798467219
69	0.4778739101
70	0.4752041207
71	0.4731590867
72	0.4712306844
73	0.4689246727
74	0.4665167749
75	0.4638803866
76	0.4617572652
77	0.4594637268
78	0.4578656137
79	0.4561296397
80	0.4536924773
81	0.4514550057
82	0.4491329988
83	0.4470449381
84	0.4456893047
85	0.4440189977
86	0.4416276601
87	0.4396153066
88	0.4375776456
89	0.4361462335
90	0.4340934197
91	0.4321935892
92	0.4304536005
93	0.428185406
94	0.4255309025
95	0.4231843233
96	0.421184914
97	0.4191219111
98	0.4164591432
99	0.4156570435
100	0.4130545663
101	0.411115808
102	0.4093916065
103	0.4075350728
104	0.4050532156
105	0.4029260324
106	0.4010144472
107	0.3990486794
108	0.3972352121
109	0.3952647607
110	0.3933827334
111	0.391158753
112	0.389777067
113	0.387875341
114	0.3868073357
115	0.3850702339
116	0.3837636153
117	0.3815101372
118	0.3799460398
119	0.3782801218
120	0.3768398007
121	0.3745429065
122	0.3728500062
123	0.3714110507
124	0.3698923681
125	0.3685842183
126	0.3672583487
127	0.3657744845
128	0.363714234
129	0.3626786788
130	0.3614712609
131	0.3595440202
132	0.3576958829
133	0.3560206479
134	0.3542416957
135	0.3523206234
136	0.3508690344
137	0.3495515148
138	0.3478844153
139	0.346271495
140	0.3451381882
141	0.3436759101
142	0.3420675026
143	0.3402705378
144	0.338516385
145	0.3369728711
146	0.3355452246
147	0.3346166293
148	0.3328213268
149	0.3311368836
150	0.3301226219
151	0.3288461089
152	0.3278298789
153	0.3264578872
154	0.3247913864
155	0.3237723192
156	0.3220485793
157	0.320764731
158	0.3194839795
159	0.3179728389
160	0.3170190811
161	0.3157071405
