Marca_Temporal,Especialidad,Genero,Edad,Grado,Frecuencia_Uso_Dispositivos,Redes_Sociales_Diario,Tiempo_Redes_Sociales,Conocimiento_Huella_Carbono,Impacto_Uso_Dispositivos,Apagar_Dispositivos,Enviar_Correos_Pesados,Imprimir_Grandes_Documentos,Comprimir_Archivos,Reducir_Redes_Sociales,Impacto_CO2_Stickers_Gifs,Reducir_Stickers_Gifs,Aprendizaje_Sostenibilidad_TIC,Acciones_Reducir_Huella,Compartir_Conocimiento_Sostenibilidad
16/11/2023 17:39:54,Geografía e Historia,Masculino,Entre 22 y 24,HISTORIA,Constantemente,Algunas horas al día,Entre 1 hora y 2 horas,Sí,"Sí, a menudo pienso en ello.",La mayoría de las veces.,Siempre.,Nunca.,Nunca.,"No, prefiero no hacerlo.","Sí, me sorprende.","Sí, estoy dispuesto/a.","Sí, definitivamente.",Pasar menos tiempo viendo vídeos de contenido no prioritario.,"Sí, definitivamente."
16/11/2023 18:59:50,Matemáticas,Femenino,Mas de 31,Ingenieria Quimica,Constantemente,Ocasionalmente,Menos de 1 hora,Sí,"Sí, ocasionalmente lo considero.",Nunca los apago.,Ocasionalmente.,La mayoría de las veces.,Nunca.,"Sí, definitivamente.","Sí, me sorprende.","Sí, estoy dispuesto/a.","Sí, definitivamente.",Mandar menos gif y stickers en las aplicaciones de mensajería.,"Sí, definitivamente."
16/11/2023 19:54:17,Educación Física,Masculino,Entre 22 y 24,Ciencias de la Actividad Física y del Deporte,Constantemente,Constantemente,Más de 3 horas,No,"No, no lo había considerado.",Ocasionalmente.,La mayoría de las veces.,Siempre.,La mayoría de las veces.,"No, prefiero no hacerlo.","Sí, me sorprende.","No, prefiero seguir usándolos.","No, prefiero no hacerlo.",Mandar menos gif y stickers en las aplicaciones de mensajería.,"No, prefiero no hacerlo."
16/11/2023 19:54:18,Economía,Femenino,Entre 22 y 24,Doble grado derecho y administración y dirección de empresas.,Constantemente,Constantemente,Más de 3 horas,Sí,"No, no lo había considerado.",Ocasionalmente.,Ocasionalmente.,La mayoría de las veces.,Ocasionalmente.,"Sí, pero me resulta difícil.","Sí, me sorprende.","Sí, estoy dispuesto/a.","Sí, definitivamente.",Pasar menos tiempo en las redes sociales.,"Sí, definitivamente."
16/11/2023 19:54:21,Biología y Geología,Femenino,Entre 22 y 24,Biotecnología,Algunas horas al día,Constantemente,Más de 3 horas,Sí,"No, no lo había considerado.",Ocasionalmente.,Ocasionalmente.,La mayoría de las veces.,Nunca.,"Sí, pero me resulta difícil.","Sí, me sorprende.","Sí, estoy dispuesto/a.","Sí, definitivamente.",Mandar menos gif y stickers en las aplicaciones de mensajería.,"Sí, definitivamente."
16/11/2023 19:54:32,Biología y Geología,Masculino,Entre 22 y 24,Biología,Algunas horas al día,Ocasionalmente,Entre 1 hora y 2 horas,Sí,"No, no lo había considerado.",Nunca los apago.,Nunca.,La mayoría de las veces.,Nunca.,"No, prefiero no hacerlo.","Sí, me sorprende.","No, prefiero seguir usándolos.","No, prefiero no hacerlo.",Mandar menos gif y stickers en las aplicaciones de mensajería.,"Sí, definitivamente."
16/11/2023 19:54:34,Economía,Femenino,Entre 22 y 24,Grado en Turismo,Constantemente,Constantemente,Más de 3 horas,Sí,"Sí, ocasionalmente lo considero.",Ocasionalmente.,La mayoría de las veces.,La mayoría de las veces.,La mayoría de las veces.,"Sí, pero me resulta difícil.","Sí, me sorprende.","Sí, estoy dispuesto/a.","Sí, definitivamente.",Pasar menos tiempo viendo vídeos de contenido no prioritario.,"Sí, definitivamente."
16/11/2023 19:55:01,Educación Física,Femenino,Entre 28 y 30,Ciencia de la actividad fisica y del deporte,Constantemente,Constantemente,Entre 2 horas y 3 horas,No,"Sí, ocasionalmente lo considero.",Nunca los apago.,Ocasionalmente.,La mayoría de las veces.,Ocasionalmente.,"Sí, pero me resulta difícil.","Sí, me sorprende.","Sí, estoy dispuesto/a.","Sí, definitivamente.",Pasar menos tiempo en las redes sociales.,"Sí, definitivamente."
16/11/2023 19:55:02,Biología y Geología,Femenino,Mas de 31,QUIMICA,Constantemente,Constantemente,Entre 2 horas y 3 horas,Sí,"Sí, ocasionalmente lo considero.",La mayoría de las veces.,Nunca.,Siempre.,Siempre.,"Sí, definitivamente.","Sí, me sorprende.","Sí, estoy dispuesto/a.","Sí, definitivamente.",Pasar menos tiempo viendo vídeos de contenido no prioritario.,"Sí, definitivamente."
16/11/2023 19:55:10,Economía,Femenino,Mas de 31,G.ADE,Constantemente,Algunas horas al día,Menos de 1 hora,Sí,"No, no lo había considerado.",La mayoría de las veces.,Ocasionalmente.,Siempre.,Ocasionalmente.,"Sí, definitivamente.","Sí, me sorprende.","No, prefiero seguir usándolos.","Sí, definitivamente.",Pasar menos tiempo en las redes sociales.,"Sí, definitivamente."
