Marca_Temporal,Especialidad,Genero,Edad,Grado,Frecuencia_Uso_Dispositivos,Redes_Sociales_Diario,Tiempo_Redes_Sociales,Conocimiento_Huella_Carbono,Impacto_Uso_Dispositivos,Apagar_Dispositivos,Enviar_Correos_Pesados,Imprimir_Grandes_Documentos,Comprimir_Archivos,Reducir_Redes_Sociales,Impacto_CO2_Stickers_Gifs,Reducir_Stickers_Gifs,Aprendizaje_Sostenibilidad_TIC,Acciones_Reducir_Huella,Compartir_Conocimiento_Sostenibilidad
15/11/2023 17:15:55,Biología y Geología,Femenino,Entre 25 y 27,en Geología,Constantemente,Constantemente,Entre 1 hora y 2 horas,Sí,Lo desconocía.,Nunca los apago.,La mayoría de las veces.,La mayoría de las veces.,La mayoría de las veces.,"Sí, definitivamente.","Sí, me sorprende.","Sí, estoy dispuesto/a.","Sí, definitivamente.",Pasar menos tiempo en las redes sociales.,"Sí, definitivamente."
15/11/2023 17:16:07,Economía,Femenino,Entre 22 y 24,Grado en Economía,Constantemente,Constantemente,Entre 1 hora y 2 horas,Sí,"No, no lo había considerado.",Ocasionalmente.,Siempre.,Siempre.,Nunca.,"No, prefiero no hacerlo.","Sí, me sorprende.","Sí, estoy dispuesto/a.","Sí, definitivamente.",Pasar menos tiempo viendo vídeos de contenido no prioritario.,"Sí, definitivamente."
15/11/2023 17:16:17,Otra,Femenino,Entre 25 y 27,Ingeniería,Constantemente,Ocasionalmente,Menos de 1 hora,Sí,"No, no lo había considerado.",La mayoría de las veces.,Siempre.,Ocasionalmente.,Ocasionalmente.,"No, prefiero no hacerlo.","Sí, me sorprende.","No, prefiero seguir usándolos.","No, prefiero no hacerlo.",Pasar menos tiempo viendo vídeos de contenido no prioritario.,"No, prefiero no hacerlo."
15/11/2023 17:16:20,Filología HIspánica,Femenino,Entre 22 y 24,Grado en Filología Hispánica,Constantemente,Constantemente,Entre 2 horas y 3 horas,Sí,"No, no lo había considerado.",Ocasionalmente.,Nunca.,Ocasionalmente.,Nunca.,"Sí, pero me resulta difícil.","Sí, me sorprende.","No, prefiero seguir usándolos.","Sí, definitivamente.",Pasar menos tiempo viendo vídeos de contenido no prioritario.,"Sí, definitivamente."
15/11/2023 17:16:22,Dibujo,Femenino,Mas de 31,Bellas Artes,Constantemente,Constantemente,Entre 2 horas y 3 horas,No,"Sí, a menudo pienso en ello.",Nunca los apago.,La mayoría de las veces.,Ocasionalmente.,La mayoría de las veces.,No estoy seguro/a.,"Sí, me sorprende.","No, prefiero seguir usándolos.","No, prefiero no hacerlo.",Mandar menos gif y stickers en las aplicaciones de mensajería.,"Sí, definitivamente."
15/11/2023 17:16:23,Economía,Masculino,Entre 22 y 24,ADE,Constantemente,Constantemente,Entre 1 hora y 2 horas,Sí,"No, no lo había considerado.",La mayoría de las veces.,Nunca.,La mayoría de las veces.,Nunca.,No estoy seguro/a.,"Sí, me sorprende.","Sí, estoy dispuesto/a.","Sí, definitivamente.",Mandar menos gif y stickers en las aplicaciones de mensajería.,"Sí, definitivamente."
15/11/2023 17:16:30,Matemáticas,Femenino,Entre 22 y 24,Ingeniería Agrícola,Constantemente,Constantemente,Entre 1 hora y 2 horas,Sí,"No, no lo había considerado.",Nunca los apago.,Siempre.,La mayoría de las veces.,Ocasionalmente.,"Sí, pero me resulta difícil.","Sí, me sorprende.","Sí, estoy dispuesto/a.","Sí, definitivamente.",Pasar menos tiempo viendo vídeos de contenido no prioritario.,"Sí, definitivamente."
15/11/2023 17:17:05,Dibujo,Femenino,Entre 25 y 27,Diseño de Interiores,Constantemente,Algunas horas al día,Entre 1 hora y 2 horas,Sí,"Sí, a menudo pienso en ello.",Ocasionalmente.,La mayoría de las veces.,La mayoría de las veces.,Ocasionalmente.,"Sí, pero me resulta difícil.","No, ya conocía esta información.","Sí, estoy dispuesto/a.","Sí, definitivamente.",Pasar menos tiempo viendo vídeos de contenido no prioritario.,"Sí, definitivamente."
15/11/2023 17:17:27,Tecnología,Masculino,Mas de 31,INGENIERIA AGRÓNOMA,Algunas horas al día,Algunas horas al día,Entre 1 hora y 2 horas,Sí,"No, no lo había considerado.",Nunca los apago.,La mayoría de las veces.,Siempre.,La mayoría de las veces.,"No, prefiero no hacerlo.","Sí, me sorprende.","No, prefiero seguir usándolos.","No, prefiero no hacerlo.",Subir menos contenido a las redes sociales.,"No, prefiero no hacerlo."
15/11/2023 17:18:22,Geografía e Historia,Femenino,Entre 25 y 27,Grado en Historia del Arte,Constantemente,Constantemente,Entre 2 horas y 3 horas,Sí,"No, no lo había considerado.",Ocasionalmente.,Ocasionalmente.,La mayoría de las veces.,Ocasionalmente.,"Sí, pero me resulta difícil.","Sí, me sorprende.","Sí, estoy dispuesto/a.","Sí, definitivamente.",Pasar menos tiempo en las redes sociales.,"No, prefiero no hacerlo."
15/11/2023 17:19:27,Matemáticas,Femenino,Entre 22 y 24,Grado en Matemáticas,Constantemente,Constantemente,Más de 3 horas,Sí,"No, no lo había considerado.",Ocasionalmente.,Nunca.,Nunca.,Nunca.,"Sí, pero me resulta difícil.","Sí, me sorprende.","No, prefiero seguir usándolos.","Sí, definitivamente.",Pasar menos tiempo en las redes sociales.,"Sí, definitivamente."
15/11/2023 17:21:41,Matemáticas,Femenino,Entre 22 y 24,Ingeniería Informática,Constantemente,Algunas horas al día,Más de 3 horas,Sí,Lo desconocía.,Ocasionalmente.,La mayoría de las veces.,Siempre.,Ocasionalmente.,"Sí, pero me resulta difícil.","Sí, me sorprende.","Sí, estoy dispuesto/a.","Sí, definitivamente.",Subir menos contenido a las redes sociales.,"Sí, definitivamente."
15/11/2023 17:23:49,Filología HIspánica,Femenino,Entre 22 y 24,Grado en Filología Hispánica,Constantemente,Algunas horas al día,Entre 2 horas y 3 horas,Sí,"No, no lo había considerado.",La mayoría de las veces.,Nunca.,Ocasionalmente.,Nunca.,"Sí, definitivamente.","Sí, me sorprende.","Sí, estoy dispuesto/a.","Sí, definitivamente.",Pasar menos tiempo viendo vídeos de contenido no prioritario.,"Sí, definitivamente."
15/11/2023 19:50:01,Educación Física,Masculino,Entre 22 y 24,Ciencias de la actividad fisica y el deporte,Constantemente,Constantemente,Entre 2 horas y 3 horas,No,Lo desconocía.,Nunca los apago.,Nunca.,La mayoría de las veces.,La mayoría de las veces.,"Sí, definitivamente.","Sí, me sorprende.","Sí, estoy dispuesto/a.","Sí, definitivamente.",Pasar menos tiempo en las redes sociales.,"Sí, definitivamente."
15/11/2023 19:50:42,Tecnología,Masculino,Entre 28 y 30,MECANICA,Ocasionalmente,Algunas horas al día,Menos de 1 hora,Sí,"Sí, ocasionalmente lo considero.",Siempre apago mis dispositivos.,Siempre.,Siempre.,Siempre.,"Sí, definitivamente.","Sí, me sorprende.","No, prefiero seguir usándolos.","Sí, definitivamente.",Pasar menos tiempo en las redes sociales.,"Sí, definitivamente."
15/11/2023 19:50:51,Geografía e Historia,Masculino,Entre 25 y 27,Geografía y gestión del territorio,Constantemente,Ocasionalmente,Entre 1 hora y 2 horas,Sí,"Sí, ocasionalmente lo considero.",Ocasionalmente.,Nunca.,Ocasionalmente.,Nunca.,"Sí, pero me resulta difícil.","Sí, me sorprende.","Sí, estoy dispuesto/a.","Sí, definitivamente.",Mandar menos gif y stickers en las aplicaciones de mensajería.,"Sí, definitivamente."
15/11/2023 19:51:12,Dibujo,Femenino,Entre 25 y 27,Bellas Artes,Constantemente,Constantemente,Más de 3 horas,Sí,"No, no lo había considerado.",Ocasionalmente.,Ocasionalmente.,La mayoría de las veces.,Ocasionalmente.,"Sí, pero me resulta difícil.","Sí, me sorprende.","Sí, estoy dispuesto/a.","Sí, definitivamente.",Pasar menos tiempo en las redes sociales.,"Sí, definitivamente."
15/11/2023 19:51:13,Matemáticas,Femenino,Entre 28 y 30,Grado en matematicas,Constantemente,Algunas horas al día,Menos de 1 hora,Sí,"No, no lo había considerado.",Siempre apago mis dispositivos.,Nunca.,Siempre.,Siempre.,"Sí, definitivamente.","No, ya conocía esta información.","Sí, estoy dispuesto/a.","Sí, definitivamente.",Pasar menos tiempo viendo vídeos de contenido no prioritario.,"Sí, definitivamente."
15/11/2023 19:51:33,Tecnología,Femenino,Entre 25 y 27,Ingeniería Mecánica,Constantemente,Algunas horas al día,Menos de 1 hora,Sí,"Sí, ocasionalmente lo considero.",Nunca los apago.,Ocasionalmente.,La mayoría de las veces.,Ocasionalmente.,"Sí, pero me resulta difícil.","Sí, me sorprende.","No, prefiero seguir usándolos.","Sí, definitivamente.",Pasar menos tiempo en las redes sociales.,"Sí, definitivamente."
15/11/2023 19:51:35,Matemáticas,Masculino,Entre 25 y 27,ingenieria electronica industrial,Constantemente,Constantemente,Entre 1 hora y 2 horas,Sí,"No, no lo había considerado.",Ocasionalmente.,La mayoría de las veces.,Siempre.,Ocasionalmente.,No estoy seguro/a.,"Sí, me sorprende.","No, prefiero seguir usándolos.","No, prefiero no hacerlo.",Subir menos contenido a las redes sociales.,"Sí, definitivamente."
15/11/2023 19:51:43,Educación Física,Masculino,Entre 22 y 24,Ciencias de la Actividad Física y del Deporte,Constantemente,Constantemente,Entre 2 horas y 3 horas,No,"No, no lo había considerado.",Ocasionalmente.,Ocasionalmente.,La mayoría de las veces.,Nunca.,"Sí, pero me resulta difícil.","Sí, me sorprende.","Sí, estoy dispuesto/a.","Sí, definitivamente.",Mandar menos gif y stickers en las aplicaciones de mensajería.,"Sí, definitivamente."
15/11/2023 19:51:47,Filología HIspánica,Femenino,Entre 22 y 24,Doble Grado en Estudios Ingleses y Filología Hispánica,Constantemente,Constantemente,Más de 3 horas,Sí,"No, no lo había considerado.",Ocasionalmente.,La mayoría de las veces.,Siempre.,La mayoría de las veces.,No estoy seguro/a.,"Sí, me sorprende.","No, prefiero seguir usándolos.","Sí, definitivamente.",Pasar menos tiempo viendo vídeos de contenido no prioritario.,"Sí, definitivamente."
15/11/2023 19:51:49,Filología HIspánica,Femenino,Entre 22 y 24,Doble Grado F. Hispánica y E. Ingleses,Constantemente,Algunas horas al día,Entre 2 horas y 3 horas,Sí,"Sí, ocasionalmente lo considero.",Ocasionalmente.,Ocasionalmente.,La mayoría de las veces.,La mayoría de las veces.,"Sí, pero me resulta difícil.","Sí, me sorprende.","No, prefiero seguir usándolos.","Sí, definitivamente.",Pasar menos tiempo viendo vídeos de contenido no prioritario.,"Sí, definitivamente."
15/11/2023 19:51:52,Matemáticas,Femenino,Entre 22 y 24,INGENIERÍA,Algunas horas al día,Algunas horas al día,Entre 1 hora y 2 horas,Sí,"No, no lo había considerado.",Nunca los apago.,Nunca.,Siempre.,La mayoría de las veces.,"Sí, pero me resulta difícil.","Sí, me sorprende.","Sí, estoy dispuesto/a.","Sí, definitivamente.",Mandar menos gif y stickers en las aplicaciones de mensajería.,"Sí, definitivamente."
15/11/2023 19:52:02,Geografía e Historia,Masculino,Entre 22 y 24,Grado en Geografía e Historia,Constantemente,Algunas horas al día,Más de 3 horas,Sí,Lo desconocía.,Ocasionalmente.,Ocasionalmente.,Siempre.,La mayoría de las veces.,No estoy seguro/a.,"Sí, me sorprende.","No, prefiero seguir usándolos.","Sí, definitivamente.",Pasar menos tiempo viendo vídeos de contenido no prioritario.,"Sí, definitivamente."
15/11/2023 19:52:06,Matemáticas,Femenino,Entre 22 y 24,Matemáticas,Algunas horas al día,Algunas horas al día,Entre 2 horas y 3 horas,Sí,"Sí, ocasionalmente lo considero.",Ocasionalmente.,La mayoría de las veces.,Siempre.,Ocasionalmente.,"Sí, pero me resulta difícil.","Sí, me sorprende.","Sí, estoy dispuesto/a.","Sí, definitivamente.",Pasar menos tiempo en las redes sociales.,"Sí, definitivamente."
15/11/2023 19:52:06,Filología HIspánica,Femenino,Entre 22 y 24,Filología Hispánica ,Algunas horas al día,Ocasionalmente,Entre 1 hora y 2 horas,No,"Sí, ocasionalmente lo considero.",La mayoría de las veces.,Nunca.,La mayoría de las veces.,Nunca.,"Sí, definitivamente.","Sí, me sorprende.","Sí, estoy dispuesto/a.","Sí, definitivamente.",Pasar menos tiempo en las redes sociales.,"Sí, definitivamente."
15/11/2023 19:52:35,Economía,Femenino,Entre 22 y 24,ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS,Constantemente,Constantemente,Entre 2 horas y 3 horas,No,"No, no lo había considerado.",Ocasionalmente.,Ocasionalmente.,Siempre.,La mayoría de las veces.,"Sí, definitivamente.","Sí, me sorprende.","Sí, estoy dispuesto/a.","Sí, definitivamente.",Mandar menos gif y stickers en las aplicaciones de mensajería.,"Sí, definitivamente."
15/11/2023 19:52:36,Matemáticas,Femenino,Entre 25 y 27,Matemáticas,Constantemente,Constantemente,Entre 1 hora y 2 horas,No,"No, no lo había considerado.",La mayoría de las veces.,La mayoría de las veces.,Siempre.,La mayoría de las veces.,"Sí, definitivamente.","Sí, me sorprende.","Sí, estoy dispuesto/a.","Sí, definitivamente.",Pasar menos tiempo viendo vídeos de contenido no prioritario.,"Sí, definitivamente."
15/11/2023 19:52:39,Matemáticas,Femenino,Entre 25 y 27,Grado en Ingeniería Agrícola,Constantemente,Constantemente,Más de 3 horas,Sí,"Sí, ocasionalmente lo considero.",La mayoría de las veces.,Ocasionalmente.,La mayoría de las veces.,La mayoría de las veces.,"Sí, definitivamente.","Sí, me sorprende.","Sí, estoy dispuesto/a.","Sí, definitivamente.",Pasar menos tiempo viendo vídeos de contenido no prioritario.,"Sí, definitivamente."
15/11/2023 19:52:41,Economía,Femenino,Mas de 31,FINANZAS Y CONTABILIDAD,Constantemente,Algunas horas al día,Menos de 1 hora,Sí,"No, no lo había considerado.",La mayoría de las veces.,Ocasionalmente.,La mayoría de las veces.,Ocasionalmente.,"Sí, pero me resulta difícil.","Sí, me sorprende.","Sí, estoy dispuesto/a.","Sí, definitivamente.",Subir menos contenido a las redes sociales.,"Sí, definitivamente."
15/11/2023 19:52:43,Dibujo,Femenino,Entre 28 y 30,Grado en Economía,Constantemente,Algunas horas al día,Entre 1 hora y 2 horas,Sí,"No, no lo había considerado.",Ocasionalmente.,Ocasionalmente.,La mayoría de las veces.,La mayoría de las veces.,No estoy seguro/a.,"Sí, me sorprende.","No, prefiero seguir usándolos.","Sí, definitivamente.",Pasar menos tiempo en las redes sociales.,"Sí, definitivamente."
15/11/2023 19:52:49,Otra,Masculino,Mas de 31,Periodismo,Constantemente,Constantemente,Más de 3 horas,Sí,"No, no lo había considerado.",Nunca los apago.,La mayoría de las veces.,La mayoría de las veces.,La mayoría de las veces.,No estoy seguro/a.,"Sí, me sorprende.","Sí, estoy dispuesto/a.","Sí, definitivamente.",Pasar menos tiempo viendo vídeos de contenido no prioritario.,"Sí, definitivamente."
15/11/2023 19:52:50,Tecnología,Masculino,Mas de 31,Grado en Ingeniería Electrónica industrial,Algunas horas al día,Ocasionalmente,Menos de 1 hora,Sí,"Sí, ocasionalmente lo considero.",La mayoría de las veces.,La mayoría de las veces.,Siempre.,Siempre.,"Sí, definitivamente.","No, ya conocía esta información.","Sí, estoy dispuesto/a.","Sí, definitivamente.",Pasar menos tiempo en las redes sociales.,"Sí, definitivamente."
15/11/2023 19:53:05,Matemáticas,Femenino,Entre 22 y 24,Ingeniería,Constantemente,Algunas horas al día,Entre 1 hora y 2 horas,Sí,"No, no lo había considerado.",Nunca los apago.,Ocasionalmente.,Ocasionalmente.,Nunca.,"Sí, pero me resulta difícil.","Sí, me sorprende.","Sí, estoy dispuesto/a.","Sí, definitivamente.",Pasar menos tiempo en las redes sociales.,"Sí, definitivamente."
15/11/2023 19:53:06,Economía,Femenino,Entre 22 y 24,Administración y Dirección de Empresas,Constantemente,Algunas horas al día,Entre 1 hora y 2 horas,No,Lo desconocía.,Nunca los apago.,Ocasionalmente.,Siempre.,Ocasionalmente.,"Sí, pero me resulta difícil.","Sí, me sorprende.","Sí, estoy dispuesto/a.","Sí, definitivamente.",Mandar menos gif y stickers en las aplicaciones de mensajería.,"Sí, definitivamente."
15/11/2023 21:52:14,Geografía e Historia,Masculino,Entre 25 y 27,Grado en Historia,Constantemente,Ocasionalmente,Menos de 1 hora,Sí,"Sí, ocasionalmente lo considero.",Siempre apago mis dispositivos.,La mayoría de las veces.,Siempre.,La mayoría de las veces.,"Sí, pero me resulta difícil.","Sí, me sorprende.","Sí, estoy dispuesto/a.","Sí, definitivamente.",Mandar menos gif y stickers en las aplicaciones de mensajería.,"Sí, definitivamente."
16/11/2023 16:12:13,Filología HIspánica,Femenino,Entre 25 y 27,Filología Hispánica,Constantemente,Algunas horas al día,Entre 2 horas y 3 horas,Sí,"Sí, ocasionalmente lo considero.",Nunca los apago.,Nunca.,Ocasionalmente.,Nunca.,"Sí, pero me resulta difícil.","Sí, me sorprende.","Sí, estoy dispuesto/a.","Sí, definitivamente.",Pasar menos tiempo en las redes sociales.,"Sí, definitivamente."
16/11/2023 17:30:06,Filología HIspánica,Masculino,Entre 22 y 24,DG Estudios ingleses y Filología hispánica,Constantemente,Constantemente,Entre 1 hora y 2 horas,Sí,"Sí, ocasionalmente lo considero.",La mayoría de las veces.,La mayoría de las veces.,Siempre.,Ocasionalmente.,"Sí, pero me resulta difícil.","Sí, me sorprende.","Sí, estoy dispuesto/a.","Sí, definitivamente.",Pasar menos tiempo en las redes sociales.,"Sí, definitivamente."
16/11/2023 17:31:05,Filología HIspánica,Femenino,Entre 22 y 24,Grado Filología Hispánica,Constantemente,Algunas horas al día,Más de 3 horas,Sí,"Sí, ocasionalmente lo considero.",La mayoría de las veces.,Nunca.,La mayoría de las veces.,Ocasionalmente.,"Sí, pero me resulta difícil.","Sí, me sorprende.","Sí, estoy dispuesto/a.","Sí, definitivamente.",Mandar menos gif y stickers en las aplicaciones de mensajería.,"Sí, definitivamente."
16/11/2023 17:31:08,Otra,Femenino,Entre 22 y 24,Doble Grado en Estudios Ingleses y Filología Hispánica,Constantemente,Constantemente,Entre 1 hora y 2 horas,Sí,"Sí, ocasionalmente lo considero.",Ocasionalmente.,Nunca.,Ocasionalmente.,Ocasionalmente.,"Sí, pero me resulta difícil.","No, ya conocía esta información.","Sí, estoy dispuesto/a.","Sí, definitivamente.",Pasar menos tiempo en las redes sociales.,"Sí, definitivamente."
16/11/2023 17:31:32,Geografía e Historia,Femenino,Entre 22 y 24,historia,Algunas horas al día,Algunas horas al día,Entre 2 horas y 3 horas,Sí,"No, no lo había considerado.",Ocasionalmente.,Nunca.,La mayoría de las veces.,Nunca.,No estoy seguro/a.,"No, ya conocía esta información.","No, prefiero seguir usándolos.","Sí, definitivamente.",Pasar menos tiempo en las redes sociales.,"Sí, definitivamente."
16/11/2023 17:31:34,Filología HIspánica,Masculino,Entre 25 y 27,Filología Hispánica,Constantemente,Constantemente,Más de 3 horas,No,"Sí, ocasionalmente lo considero.",Nunca los apago.,La mayoría de las veces.,Ocasionalmente.,Ocasionalmente.,No estoy seguro/a.,"Sí, me sorprende.","Sí, estoy dispuesto/a.","Sí, definitivamente.",Pasar menos tiempo en las redes sociales.,"Sí, definitivamente."
16/11/2023 17:31:38,Tecnología,Masculino,Mas de 31,GRADO TELECOMUNICACIONES,Constantemente,Algunas horas al día,Menos de 1 hora,Sí,"Sí, ocasionalmente lo considero.",Siempre apago mis dispositivos.,La mayoría de las veces.,La mayoría de las veces.,La mayoría de las veces.,"Sí, pero me resulta difícil.","Sí, me sorprende.","Sí, estoy dispuesto/a.","Sí, definitivamente.",Pasar menos tiempo viendo vídeos de contenido no prioritario.,"Sí, definitivamente."
16/11/2023 17:31:51,Matemáticas,Masculino,Entre 25 y 27,grado en Física,Constantemente,Constantemente,Entre 2 horas y 3 horas,Sí,"Sí, ocasionalmente lo considero.",La mayoría de las veces.,Ocasionalmente.,La mayoría de las veces.,Siempre.,"Sí, pero me resulta difícil.","Sí, me sorprende.","Sí, estoy dispuesto/a.","Sí, definitivamente.",Pasar menos tiempo viendo vídeos de contenido no prioritario.,"Sí, definitivamente."
