,Especialidad,Genero,Edad,Grado,Frecuencia_Uso_Dispositivos,Redes_Sociales_Diario,Tiempo_Redes_Sociales,Conocimiento_Huella_Carbono,Impacto_Uso_Dispositivos,Apagar_Dispositivos,Enviar_Correos_Pesados,Imprimir_Grandes_Documentos,Comprimir_Archivos,Reducir_Redes_Sociales,Impacto_CO2_Stickers_Gifs,Reducir_Stickers_Gifs,Aprendizaje_Sostenibilidad_TIC,Acciones_Reducir_Huella,Compartir_Conocimiento_Sostenibilidad,Conciencia_Ambiental
17,matemáticas,femenino,entre 22 y 24,grado en ingeniería agrícola,constantemente,constantemente,entre 1 hora y 2 horas,sí,"no, no lo había considerado.",nunca los apago.,siempre.,la mayoría de las veces.,ocasionalmente.,"sí, pero me resulta difícil.","sí, me sorprende.","sí, estoy dispuesto/a.","sí, definitivamente.",pasar menos tiempo viendo vídeos de contenido no prioritario.,"sí, definitivamente.",0
18,dibujo,femenino,entre 25 y 27,grado en diseño de interiores,constantemente,algunas horas al día,entre 1 hora y 2 horas,sí,"sí, a menudo pienso en ello.",ocasionalmente.,la mayoría de las veces.,la mayoría de las veces.,ocasionalmente.,"sí, pero me resulta difícil.","no, ya conocía esta información.","sí, estoy dispuesto/a.","sí, definitivamente.",pasar menos tiempo viendo vídeos de contenido no prioritario.,"sí, definitivamente.",1
19,tecnología,masculino,mas de 31,grado en ingeniería agrícola,algunas horas al día,algunas horas al día,entre 1 hora y 2 horas,sí,"no, no lo había considerado.",nunca los apago.,la mayoría de las veces.,siempre.,la mayoría de las veces.,"no, prefiero no hacerlo.","sí, me sorprende.","no, prefiero seguir usándolos.","no, prefiero no hacerlo.",subir menos contenido a las redes sociales.,"no, prefiero no hacerlo.",0
20,geografía e historia,femenino,entre 25 y 27,grado en historia del arte,constantemente,constantemente,entre 2 horas y 3 horas,sí,"no, no lo había considerado.",ocasionalmente.,ocasionalmente.,la mayoría de las veces.,ocasionalmente.,"sí, pero me resulta difícil.","sí, me sorprende.","sí, estoy dispuesto/a.","sí, definitivamente.",pasar menos tiempo en las redes sociales.,"no, prefiero no hacerlo.",0
21,matemáticas,femenino,entre 22 y 24,grado en matemáticas,constantemente,constantemente,más de 3 horas,sí,"no, no lo había considerado.",ocasionalmente.,nunca.,nunca.,nunca.,"sí, pero me resulta difícil.","sí, me sorprende.","no, prefiero seguir usándolos.","sí, definitivamente.",pasar menos tiempo en las redes sociales.,"sí, definitivamente.",0
22,matemáticas,femenino,entre 22 y 24,grado en ingeniería informática,constantemente,algunas horas al día,más de 3 horas,sí,lo desconocía.,ocasionalmente.,la mayoría de las veces.,siempre.,ocasionalmente.,"sí, pero me resulta difícil.","sí, me sorprende.","sí, estoy dispuesto/a.","sí, definitivamente.",subir menos contenido a las redes sociales.,"sí, definitivamente.",0
23,filología hispánica,femenino,entre 22 y 24,grado en filología hispánica,constantemente,algunas horas al día,entre 2 horas y 3 horas,sí,"no, no lo había considerado.",la mayoría de las veces.,nunca.,ocasionalmente.,nunca.,"sí, definitivamente.","sí, me sorprende.","sí, estoy dispuesto/a.","sí, definitivamente.",pasar menos tiempo viendo vídeos de contenido no prioritario.,"sí, definitivamente.",0
24,educación física,masculino,entre 22 y 24,grado en ciencias de la actividad física y el deporte,constantemente,constantemente,entre 2 horas y 3 horas,no,lo desconocía.,nunca los apago.,nunca.,la mayoría de las veces.,la mayoría de las veces.,"sí, definitivamente.","sí, me sorprende.","sí, estoy dispuesto/a.","sí, definitivamente.",pasar menos tiempo en las redes sociales.,"sí, definitivamente.",0
25,tecnología,masculino,entre 28 y 30,grado en ingeniería mecánica,ocasionalmente,algunas horas al día,menos de 1 hora,sí,"sí, ocasionalmente lo considero.",siempre apago mis dispositivos.,siempre.,siempre.,siempre.,"sí, definitivamente.","sí, me sorprende.","no, prefiero seguir usándolos.","sí, definitivamente.",pasar menos tiempo en las redes sociales.,"sí, definitivamente.",1
26,geografía e historia,masculino,entre 25 y 27,grado en geografía y gestión del territorio,constantemente,ocasionalmente,entre 1 hora y 2 horas,sí,"sí, ocasionalmente lo considero.",ocasionalmente.,nunca.,ocasionalmente.,nunca.,"sí, pero me resulta difícil.","sí, me sorprende.","sí, estoy dispuesto/a.","sí, definitivamente.",mandar menos gif y stickers en las aplicaciones de mensajería.,"sí, definitivamente.",0
27,dibujo,femenino,entre 25 y 27,grado en bellas artes,constantemente,constantemente,más de 3 horas,sí,"no, no lo había considerado.",ocasionalmente.,ocasionalmente.,la mayoría de las veces.,ocasionalmente.,"sí, pero me resulta difícil.","sí, me sorprende.","sí, estoy dispuesto/a.","sí, definitivamente.",pasar menos tiempo en las redes sociales.,"sí, definitivamente.",0
28,matemáticas,femenino,entre 28 y 30,grado en matemáticas,constantemente,algunas horas al día,menos de 1 hora,sí,"no, no lo había considerado.",siempre apago mis dispositivos.,nunca.,siempre.,siempre.,"sí, definitivamente.","no, ya conocía esta información.","sí, estoy dispuesto/a.","sí, definitivamente.",pasar menos tiempo viendo vídeos de contenido no prioritario.,"sí, definitivamente.",1
29,tecnología,femenino,entre 25 y 27,grado en ingeniería mecánica,constantemente,algunas horas al día,menos de 1 hora,sí,"sí, ocasionalmente lo considero.",nunca los apago.,ocasionalmente.,la mayoría de las veces.,ocasionalmente.,"sí, pero me resulta difícil.","sí, me sorprende.","no, prefiero seguir usándolos.","sí, definitivamente.",pasar menos tiempo en las redes sociales.,"sí, definitivamente.",0
30,matemáticas,masculino,entre 25 y 27,grado en ingeniería electrónica industrial,constantemente,constantemente,entre 1 hora y 2 horas,sí,"no, no lo había considerado.",ocasionalmente.,la mayoría de las veces.,siempre.,ocasionalmente.,no estoy seguro/a.,"sí, me sorprende.","no, prefiero seguir usándolos.","no, prefiero no hacerlo.",subir menos contenido a las redes sociales.,"sí, definitivamente.",0
31,educación física,masculino,entre 22 y 24,grado en ciencias de la actividad física y el deporte,constantemente,constantemente,entre 2 horas y 3 horas,no,"no, no lo había considerado.",ocasionalmente.,ocasionalmente.,la mayoría de las veces.,nunca.,"sí, pero me resulta difícil.","sí, me sorprende.","sí, estoy dispuesto/a.","sí, definitivamente.",mandar menos gif y stickers en las aplicaciones de mensajería.,"sí, definitivamente.",0
32,filología hispánica,femenino,entre 22 y 24,doble grado en estudios ingleses y filología hispánica,constantemente,constantemente,más de 3 horas,sí,"no, no lo había considerado.",ocasionalmente.,la mayoría de las veces.,siempre.,la mayoría de las veces.,no estoy seguro/a.,"sí, me sorprende.","no, prefiero seguir usándolos.","sí, definitivamente.",pasar menos tiempo viendo vídeos de contenido no prioritario.,"sí, definitivamente.",0
33,filología hispánica,femenino,entre 22 y 24,doble grado en estudios ingleses y filología hispánica,constantemente,algunas horas al día,entre 2 horas y 3 horas,sí,"sí, ocasionalmente lo considero.",ocasionalmente.,ocasionalmente.,la mayoría de las veces.,la mayoría de las veces.,"sí, pero me resulta difícil.","sí, me sorprende.","no, prefiero seguir usándolos.","sí, definitivamente.",pasar menos tiempo viendo vídeos de contenido no prioritario.,"sí, definitivamente.",0
34,matemáticas,femenino,entre 22 y 24,ingeniería,algunas horas al día,algunas horas al día,entre 1 hora y 2 horas,sí,"no, no lo había considerado.",nunca los apago.,nunca.,siempre.,la mayoría de las veces.,"sí, pero me resulta difícil.","sí, me sorprende.","sí, estoy dispuesto/a.","sí, definitivamente.",mandar menos gif y stickers en las aplicaciones de mensajería.,"sí, definitivamente.",0
35,geografía e historia,masculino,entre 22 y 24,grado en geografía e historia,constantemente,algunas horas al día,más de 3 horas,sí,lo desconocía.,ocasionalmente.,ocasionalmente.,siempre.,la mayoría de las veces.,no estoy seguro/a.,"sí, me sorprende.","no, prefiero seguir usándolos.","sí, definitivamente.",pasar menos tiempo viendo vídeos de contenido no prioritario.,"sí, definitivamente.",0
36,matemáticas,femenino,entre 22 y 24,grado en matemáticas,algunas horas al día,algunas horas al día,entre 2 horas y 3 horas,sí,"sí, ocasionalmente lo considero.",ocasionalmente.,la mayoría de las veces.,siempre.,ocasionalmente.,"sí, pero me resulta difícil.","sí, me sorprende.","sí, estoy dispuesto/a.","sí, definitivamente.",pasar menos tiempo en las redes sociales.,"sí, definitivamente.",0
37,filología hispánica,femenino,entre 22 y 24,grado en filología hispánica,algunas horas al día,ocasionalmente,entre 1 hora y 2 horas,no,"sí, ocasionalmente lo considero.",la mayoría de las veces.,nunca.,la mayoría de las veces.,nunca.,"sí, definitivamente.","sí, me sorprende.","sí, estoy dispuesto/a.","sí, definitivamente.",pasar menos tiempo en las redes sociales.,"sí, definitivamente.",1
38,economía,femenino,entre 22 y 24,grado en administración y dirección de empresas,constantemente,constantemente,entre 2 horas y 3 horas,no,"no, no lo había considerado.",ocasionalmente.,ocasionalmente.,siempre.,la mayoría de las veces.,"sí, definitivamente.","sí, me sorprende.","sí, estoy dispuesto/a.","sí, definitivamente.",mandar menos gif y stickers en las aplicaciones de mensajería.,"sí, definitivamente.",0
39,matemáticas,femenino,entre 25 y 27,grado en matemáticas,constantemente,constantemente,entre 1 hora y 2 horas,no,"no, no lo había considerado.",la mayoría de las veces.,la mayoría de las veces.,siempre.,la mayoría de las veces.,"sí, definitivamente.","sí, me sorprende.","sí, estoy dispuesto/a.","sí, definitivamente.",pasar menos tiempo viendo vídeos de contenido no prioritario.,"sí, definitivamente.",1
40,matemáticas,femenino,entre 25 y 27,grado en ingeniería agrícola,constantemente,constantemente,más de 3 horas,sí,"sí, ocasionalmente lo considero.",la mayoría de las veces.,ocasionalmente.,la mayoría de las veces.,la mayoría de las veces.,"sí, definitivamente.","sí, me sorprende.","sí, estoy dispuesto/a.","sí, definitivamente.",pasar menos tiempo viendo vídeos de contenido no prioritario.,"sí, definitivamente.",1
41,economía,femenino,mas de 31,grado en finanzas y contabilidad,constantemente,algunas horas al día,menos de 1 hora,sí,"no, no lo había considerado.",la mayoría de las veces.,ocasionalmente.,la mayoría de las veces.,ocasionalmente.,"sí, pero me resulta difícil.","sí, me sorprende.","sí, estoy dispuesto/a.","sí, definitivamente.",subir menos contenido a las redes sociales.,"sí, definitivamente.",0
42,dibujo,femenino,entre 28 y 30,grado en economía,constantemente,algunas horas al día,entre 1 hora y 2 horas,sí,"no, no lo había considerado.",ocasionalmente.,ocasionalmente.,la mayoría de las veces.,la mayoría de las veces.,no estoy seguro/a.,"sí, me sorprende.","no, prefiero seguir usándolos.","sí, definitivamente.",pasar menos tiempo en las redes sociales.,"sí, definitivamente.",0
43,otra,masculino,mas de 31,grado en periodismo,constantemente,constantemente,más de 3 horas,sí,"no, no lo había considerado.",nunca los apago.,la mayoría de las veces.,la mayoría de las veces.,la mayoría de las veces.,no estoy seguro/a.,"sí, me sorprende.","sí, estoy dispuesto/a.","sí, definitivamente.",pasar menos tiempo viendo vídeos de contenido no prioritario.,"sí, definitivamente.",0
44,tecnología,masculino,mas de 31,grado en ingeniería electrónica industrial,algunas horas al día,ocasionalmente,menos de 1 hora,sí,"sí, ocasionalmente lo considero.",la mayoría de las veces.,la mayoría de las veces.,siempre.,siempre.,"sí, definitivamente.","no, ya conocía esta información.","sí, estoy dispuesto/a.","sí, definitivamente.",pasar menos tiempo en las redes sociales.,"sí, definitivamente.",1
45,matemáticas,femenino,entre 22 y 24,ingeniería,constantemente,algunas horas al día,entre 1 hora y 2 horas,sí,"no, no lo había considerado.",nunca los apago.,ocasionalmente.,ocasionalmente.,nunca.,"sí, pero me resulta difícil.","sí, me sorprende.","sí, estoy dispuesto/a.","sí, definitivamente.",pasar menos tiempo en las redes sociales.,"sí, definitivamente.",0
46,economía,femenino,entre 22 y 24,grado en administración y dirección de empresas,constantemente,algunas horas al día,entre 1 hora y 2 horas,no,lo desconocía.,nunca los apago.,ocasionalmente.,siempre.,ocasionalmente.,"sí, pero me resulta difícil.","sí, me sorprende.","sí, estoy dispuesto/a.","sí, definitivamente.",mandar menos gif y stickers en las aplicaciones de mensajería.,"sí, definitivamente.",0
47,geografía e historia,masculino,entre 25 y 27,grado en historia,constantemente,ocasionalmente,menos de 1 hora,sí,"sí, ocasionalmente lo considero.",siempre apago mis dispositivos.,la mayoría de las veces.,siempre.,la mayoría de las veces.,"sí, pero me resulta difícil.","sí, me sorprende.","sí, estoy dispuesto/a.","sí, definitivamente.",mandar menos gif y stickers en las aplicaciones de mensajería.,"sí, definitivamente.",1
48,filología hispánica,femenino,entre 25 y 27,grado en filología hispánica,constantemente,algunas horas al día,entre 2 horas y 3 horas,sí,"sí, ocasionalmente lo considero.",nunca los apago.,nunca.,ocasionalmente.,nunca.,"sí, pero me resulta difícil.","sí, me sorprende.","sí, estoy dispuesto/a.","sí, definitivamente.",pasar menos tiempo en las redes sociales.,"sí, definitivamente.",0
49,filología hispánica,masculino,entre 22 y 24,doble grado en estudios ingleses y filología hispánica,constantemente,constantemente,entre 1 hora y 2 horas,sí,"sí, ocasionalmente lo considero.",la mayoría de las veces.,la mayoría de las veces.,siempre.,ocasionalmente.,"sí, pero me resulta difícil.","sí, me sorprende.","sí, estoy dispuesto/a.","sí, definitivamente.",pasar menos tiempo en las redes sociales.,"sí, definitivamente.",1
50,filología hispánica,femenino,entre 22 y 24,grado en filología hispánica,constantemente,algunas horas al día,más de 3 horas,sí,"sí, ocasionalmente lo considero.",la mayoría de las veces.,nunca.,la mayoría de las veces.,ocasionalmente.,"sí, pero me resulta difícil.","sí, me sorprende.","sí, estoy dispuesto/a.","sí, definitivamente.",mandar menos gif y stickers en las aplicaciones de mensajería.,"sí, definitivamente.",0
51,otra,femenino,entre 22 y 24,doble grado en estudios ingleses y filología hispánica,constantemente,constantemente,entre 1 hora y 2 horas,sí,"sí, ocasionalmente lo considero.",ocasionalmente.,nunca.,ocasionalmente.,ocasionalmente.,"sí, pero me resulta difícil.","no, ya conocía esta información.","sí, estoy dispuesto/a.","sí, definitivamente.",pasar menos tiempo en las redes sociales.,"sí, definitivamente.",0
52,geografía e historia,femenino,entre 22 y 24,grado en historia,algunas horas al día,algunas horas al día,entre 2 horas y 3 horas,sí,"no, no lo había considerado.",ocasionalmente.,nunca.,la mayoría de las veces.,nunca.,no estoy seguro/a.,"no, ya conocía esta información.","no, prefiero seguir usándolos.","sí, definitivamente.",pasar menos tiempo en las redes sociales.,"sí, definitivamente.",0
